City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
puerto ayora,32,EC,1554424634,100,-0.74,-90.35,25.97,0.81
rikitea,0,PF,1554424688,100,-23.12,-134.97,24.77,7.36
chimore,80,BO,1554424689,94,-16.98,-65.13,23.42,1.41
kodiak,90,US,1554424623,47,39.95,-94.76,13.33,1.5
yellowknife,20,CA,1554424467,51,62.45,-114.38,-11.11,6.7
portobelo,40,PA,1554424299,61,9.55,-79.65,28,2.6
bredasdorp,76,ZA,1554424291,71,-34.53,20.04,14,3.1
punta arenas,75,CL,1554424350,75,-53.16,-70.91,7,4.1
riyadh,0,SA,1554422400,46,24.63,46.72,23,1.5
beringovskiy,80,RU,1554424623,100,63.05,179.32,-4.09,4.91
faanui,80,PF,1554424608,100,-16.48,-151.75,27.32,3.16
severo-yeniseyskiy,80,RU,1554424498,82,60.37,93.04,-2.84,3.36
nenjiang,12,CN,1554424692,55,49.17,125.23,2.62,4.26
tuktoyaktuk,75,CA,1554422400,84,69.44,-133.03,-17,3.1
hailar,0,CN,1554424692,63,49.2,119.7,-1.69,2.51
geraldton,40,CA,1554422400,42,49.72,-86.95,-2,6.2
luderitz,0,NA,1554424602,76,-26.65,15.16,16.77,8.06
hilo,40,US,1554424580,57,19.71,-155.08,26,4.1
barrow,0,AR,1554424599,79,-38.31,-60.23,13.92,7.01
albany,20,US,1554424416,25,42.65,-73.75,4.44,5.7
san luis,0,AR,1554424694,28,-33.3,-66.34,17.52,4.21
thinadhoo,92,MV,1554424694,100,0.53,72.93,28.42,1.66
hobart,20,AU,1554424515,42,-42.88,147.33,18.89,4.6
half moon bay,90,US,1554424694,87,37.46,-122.43,17.22,6.2
kapaa,75,US,1554424400,54,22.08,-159.32,28,5.7
aklavik,5,CA,1554422400,60,68.22,-135.01,-11,1
valleyview,8,CA,1554424696,74,55.07,-117.28,0.82,2.46
laguna,75,MX,1554421260,18,27.52,-110.01,29,4.1
seoul,90,KR,1554423600,75,37.57,126.98,11,1.5
bluff,12,AU,1554424697,52,-23.58,149.07,25.47,6.01
ust-kuyga,0,RU,1554424698,81,70,135.55,-4.14,1.51
butaritari,88,KI,1554424604,100,3.07,172.79,25.67,2.36
santa vitoria do palmar,92,BR,1554424443,98,-33.52,-53.37,19.97,5.01
ostrovnoy,8,RU,1554424698,82,68.05,39.51,-6.74,3.51
kem,0,UG,1554424699,64,2.68,33.77,23.27,4.56
vaini,24,IN,1554424699,84,15.34,74.49,19.27,0.81
arlit,0,NE,1554424634,27,18.74,7.39,24.02,1.21
cidreira,76,BR,1554424699,91,-30.17,-50.22,24.02,2.41
kimbe,36,PG,1554424700,100,-5.56,150.15,27.52,0.71
upernavik,8,GL,1554424607,87,72.79,-56.15,-10.34,7.71
bijie,76,CN,1554424700,96,27.3,105.3,8.77,1.56
mar del plata,0,AR,1554424700,48,-46.43,-67.52,16.32,8.06
busselton,0,AU,1554424509,50,-33.64,115.35,13.33,4.06
cortez,1,US,1554424507,26,37.35,-108.58,16,1.51
shitanjing,0,CN,1554424701,31,39.23,106.34,4.37,2.11
bubaque,24,GW,1554424701,85,11.28,-15.83,28.12,6.81
dehloran,24,IR,1554424702,39,32.69,47.27,17.62,3.71
mataura,76,NZ,1554424208,60,-46.19,168.86,13.89,2.36
